comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-01-normal-18,entity-01-normal,18,0x1ca0c85a33b6c2f5c40cfcd4ca6513dc39898e17c0009e7c67f91c4d5929ceb5,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-18,entity-02-normal,18,0xa4ff93fd3a6a2af05238548c5c18132cda62d7fd8ab13c13dae7759040d4181f,,,91,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-18,entity-03-normal,18,0x2fa6aa1c5cee0078c41bb1a997092e8cf0a4c64a587842212a4b9922b092d55a,,,92,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-18,entity-04-normal,18,0x67ed26c0c159894ca6ba655c0f0f1bd50c5e8b9e3fb6492d29d79976c7a9a0a7,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-18,entity-05-suspicious,18,0xc42686e1d3b0a5ebcb2060a1f74976446e075dafc4c75233115385a9259becbd,,,58,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-18,entity-06-suspicious,18,0x108c33368c1d23874ede12fdae50e0b7cdce66600cc0a9e6424ce67b64bc73a4,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-19,entity-01-normal,19,0x997fc6fe25fe27bc7714290db0dd5b3f211716010ecd11ffdca9b0b6b097c4bb,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-19,entity-02-normal,19,0x52e87d9a3b42c1e62c994c7dafdf9e553ffa0e50d5fe0c6fe0a23724d71cd86b,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-19,entity-03-normal,19,0xc7be49801fd6cf5c8e46679b989c23c8081ac7ff489364b0cd4140289e493e7e,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-19,entity-04-normal,19,0x43cd11b153016e1a9bf2d3e608aafc5d558a0f7f058ddb6529295cf6bac3601f,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-19,entity-05-suspicious,19,0xa95f4e1f8c3160219ea047ee7ad5608dd696d824d85c3b6397b2e278a7cfd388,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-19,entity-06-suspicious,19,0x3f09d7bcbdf8dcac59e41906435e57349261ae791186c7f79890d00f43e9c2da,,,62,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-20,entity-01-normal,20,0x2ebaf39e44eedfe9206f03848d968c8190b049905e4ce19fb83af385e8ec422c,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-20,entity-02-normal,20,0xc9f97c67ddecb1c99bd6ba7bd6988ea99a74da641520c911d44767e63c6dd20d,,,93,Trusted,,,true,,,,B live result matches expected state
