comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-04-normal-13,entity-04-normal,13,0xda8e7f589bbad4e518c4343a0d1a37e402d58a1f557a6dff4e9c7e7279723adc,92,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-13,entity-05-suspicious,13,0xc3951fa653b603835cacb1fc2ee34536be1f2988805ee0f48ba5a7a8a1f25f93,62,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-13,entity-06-suspicious,13,0x82779d1f4271c91cb5e08fb14a830bdfa7072a84282840084ba97223c837155d,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-13,entity-07-suspicious,13,0x02c322363022121fcb2520d35780eeeced9b7b9332567aaf76d44cc6a8326b05,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-13,entity-08-malicious,13,0x3945e4bfc28986fbbba1e6266e6058f7cf2bc0457640c75728f2cac2a16e8581,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-13,entity-09-malicious,13,0x70ad95700cf812cb7672e8d9cf4e93eca30e2186bb542f1918297b796af15de5,27,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-13,entity-10-malicious,13,0x5b13538c1f02be2975609cd425da8f1e6c055dc13d1786ea9636d3cdbcde9a0c,27,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-14,entity-01-normal,14,0x7c03f139d88e8c21aca0c8055059391be5bd7a99d8a2434e94022e173f3ce0b7,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-14,entity-02-normal,14,0xbb0d446a2dbbfb99fa8336d141e5b6ca9c05907f98ebe02d0ad44a2ed80da4ad,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-14,entity-03-normal,14,0x2007fa1b3a243bf39ec172fd7835ff12bfdd0e07141daf0cc8ac48da2dee83a3,91,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-14,entity-04-normal,14,0x31c41263104f32b02d6972faec830fccccba050362023089b3527c260acf86c3,92,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-14,entity-05-suspicious,14,0x8fdc3db68830c8da854e382507a6d38b5a04d7ecc22ae1fa3bb625426757d8ff,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-14,entity-06-suspicious,14,0xda649a039f6ad7114333d8ab1f74744a99470bf2e78fcf087931f0c6f7eb2c6f,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-14,entity-07-suspicious,14,0x11464dff2332bfa885a58f405983959cf2cf239b5866b4e2bf5874b7738daa0e,62,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-14,entity-08-malicious,14,0xc38c879af71fdc44d093e0c5be5816124ba3b43a866aec18e5c6cc8194aa45c9,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-14,entity-09-malicious,14,0x5dd91832d82919972cd11a62bc1980374452f05ea489bf818130420a7e667652,26,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-14,entity-10-malicious,14,0x2e812532fb319685201559cc3074ac54085184a9f6b7a73ad61e633a2267f4a8,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-15,entity-01-normal,15,0x7e4ffcc62a285e54423982b9d3d9ff77fb074852df855da268162f053355733c,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-15,entity-02-normal,15,0x9e2c587d5c7cf0b0a3549baa0fa0393171d5e3ab933fb397db53c46a89d9dcbc,91,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-15,entity-03-normal,15,0x4d248b402c19c7d4a9002124f9fd94d37f8fba6bb4a0b750897132a3989cf8ef,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-15,entity-04-normal,15,0xac38143746bec7898102c29fdf97585bea09b1b5c0b84a31b1999544453d9a2f,93,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-15,entity-05-suspicious,15,0x04cd1557306e00269b83f752da0a7afc5e6e3cf4807d10df6ad62b89b18ad938,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-15,entity-06-suspicious,15,0xc02e3873f0427686f6dda5c1f68de435b35ea0ebe9f6f8d303eee2e0e636c4d2,64,Suspicious,,,,,true,,,,A live result matches expected state
